event,name,dob,country,time,score,date
86,men's 1500m,Aleš TOMIČ,1977-04-13,SLO,219.29001,1116,2002-07-08
87,men's 1500m,Michal ŠNEBERGER,1978-06-23,CZE,219.31,1116,2002-06-17
88,men's 1500m,Andrés Manuel DÍAZ,1969-07-12,ESP,219.33,1115,2002-08-20
89,men's 1500m,David KIMANI,1977-02-20,KEN,219.35,1115,2002-03-29
90,men's 1500m,António TRAVASSOS,1971-09-24,POR,219.45,1114,2002-07-03
91,men's 1500m,Zbigniew GRACZYK,1978-07-04,POL,219.45999,1114,2002-06-14
92,men's 1500m,Edgar Martins DE OLIVEIRA,1967-11-11,BRA,219.49,1113,2002-05-05
93,men's 1500m,Aléxis ABRAHAM,1976-02-14,FRA,219.5,1113,2002-07-05
94,men's 1500m,Jonathan MCCALLUM,1975-11-19,GBR,219.57,1112,2002-06-01
95,men's 1500m,Alberto BISPO,1975-01-14,POR,219.68,1111,2002-07-03
96,men's 1500m,Mbulaeni MULAUDZI,1980-09-08,RSA,219.7,1110,2002-04-19
97,men's 1500m,Mikhail YEGINOV,1976-08-09,RUS,219.7,1110,2002-07-20
98,men's 1500m,Dmytri BARANOVSKIY,1979-07-28,UKR,219.76,1110,2002-08-16
99,men's 1500m,Fumikazu KOBAYASHI,1978-03-21,JPN,219.86,1108,2002-06-30
--------2002------------
--------:avg top 100:1154.19--avg top percent:1174.5079365079366-------
-------------------------
0,men's 1500m,Hicham EL GUERROUJ,1974-09-14,MAR,208.4,1268,2003-09-05
1,men's 1500m,Mehdi BAALA,1978-08-17,FRA,208.98,1259,2003-09-05
2,men's 1500m,Bernard LAGAT,1974-12-12,KEN,210.55,1237,2003-08-15
3,men's 1500m,Paul KORIR,1977-07-15,KEN,210.72,1234,2003-09-05
4,men's 1500m,Fouad CHOUKI,1978-10-01,FRA,210.83,1233,2003-08-15
5,men's 1500m,Cornelius CHIRCHIR,1983-06-05,KEN,211.17,1228,2003-06-12
6,men's 1500m,Robert RONO,1978-08-16,KEN,211.33,1226,2003-09-05
7,men's 1500m,Alex KIPCHIRCHIR,1984-11-26,KEN,211.42,1225,2003-09-05
8,men's 1500m,Isaac Kiprono SONGOK,1984-04-25,KEN,211.54001,1223,2003-08-02
9,men's 1500m,Juan Carlos HIGUERO,1978-08-03,ESP,211.61,1222,2003-09-05
10,men's 1500m,William CHIRCHIR,1979-02-06,KEN,211.7,1221,2003-06-12
11,men's 1500m,Ivan HESHKO,1979-08-19,UKR,212.01,1216,2003-06-12
12,men's 1500m,Benjamin KIPKURUI,1980-12-28,KEN,212.42,1211,2003-08-02
13,men's 1500m,Vyacheslav SHABUNIN,1969-09-27,RUS,212.63,1208,2003-09-05
14,men's 1500m,Reyes ESTÉVEZ,1976-08-02,ESP,212.86,1204,2003-07-11
15,men's 1500m,Rui SILVA,1977-08-03,POR,212.97,1203,2003-06-24
16,men's 1500m,Laban ROTICH,1969-01-20,KEN,213.91,1190,2003-07-04
17,men's 1500m,Noah NGENY,1978-11-02,KEN,213.95999,1189,2003-06-24
18,men's 1500m,Gert-Jan LIEFERS,1978-09-26,NED,213.99,1189,2003-08-27
19,men's 1500m,Timothy KIPTANUI,1980-01-05,KEN,214.07,1187,2003-06-03
20,men's 1500m,Tarek BOUKENSA,1981-11-19,ALG,214.57,1181,2003-08-10
21,men's 1500m,Kevin SULLIVAN,1974-03-20,CAN,214.6,1180,2003-05-17
22,men's 1500m,Roberto PARRA,1976-04-06,ESP,215.02,1174,2003-08-27
23,men's 1500m,Abdelkader HACHLAF,1979-07-03,MAR,215.03,1174,2003-07-19
24,men's 1500m,David KIPLAK,1981-12-27,KEN,215.09,1173,2003-06-15
25,men's 1500m,Álvaro FERNÁNDEZ CEREZO,1981-04-07,ESP,215.1,1173,2003-08-10
26,men's 1500m,Stephen CHERONO,1982-10-15,KEN,215.15,1173,2003-07-01
27,men's 1500m,David KRUMMENACKER,1975-05-24,USA,215.15,1173,2003-07-13
28,men's 1500m,Youssef BABA,1979-08-07,MAR,215.17,1172,2003-08-10
29,men's 1500m,Sergio GALLARDO,1979-03-22,ESP,215.24,1171,2003-07-01
30,men's 1500m,Anis SELMOUNI,1979-03-15,MAR,215.35,1170,2003-07-13
31,men's 1500m,Anthony WHITEMAN,1971-11-13,GBR,215.49,1168,2003-07-04
32,men's 1500m,Michael EAST,1978-01-20,GBR,215.49,1168,2003-07-19
33,men's 1500m,Wolfram MÜLLER,1981-07-08,GER,215.5,1168,2003-06-03
34,men's 1500m,James NOLAN,1977-01-27,IRL,215.69,1165,2003-08-02
35,men's 1500m,Job TANUI,1974-08-26,KEN,215.73,1165,2003-07-31
36,men's 1500m,Bert LEENAERTS,1980-07-01,BEL,215.74,1164,2003-08-02
37,men's 1500m,Grant ROBISON,1978-09-27,USA,215.75,1164,2003-08-02
38,men's 1500m,Manuel DAMIAO,1978-07-19,POR,215.84,1163,2003-06-03
39,men's 1500m,Richard GEEMI,1973-08-23,KEN,215.85,1163,2003-08-12
40,men's 1500m,Mohamed KHALDI,1975-03-05,ALG,216.12,1159,2003-07-07
41,men's 1500m,Paul MWANGI,1973-11-19,KEN,216.13,1159,2003-07-31
42,men's 1500m,Eliud KIPCHOGE,1984-11-05,KEN,216.17,1158,2003-06-09
43,men's 1500m,Youcef ABDI,1977-12-07,AUS,216.35,1156,2003-08-02
44,men's 1500m,Christian OBRIST,1980-11-20,ITA,216.36,1156,2003-06-03
45,men's 1500m,Samwel MWERA,1985-06-03,TAN,216.4,1155,2003-08-15
46,men's 1500m,Nick WILLIS,1983-04-25,NZL,216.41,1155,2003-07-07
47,men's 1500m,Zhaobo DOU,1983-09-23,CHN,216.49,1154,2003-10-24
48,men's 1500m,Bouabdellah TAHRI,1978-12-20,FRA,216.55,1153,2003-06-07
49,men's 1500m,Adrian BLINCOE,1979-11-04,NZL,216.57,1153,2003-08-02
50,men's 1500m,Hudson SANTOS DE SOUZA,1977-02-25,BRA,216.58,1153,2003-07-07
51,men's 1500m,Gareth TURNBULL,1979-05-14,IRL,216.6,1153,2003-07-19
52,men's 1500m,Abdelkader CHÉKHÉMANI,1971-07-18,FRA,216.66,1152,2003-07-04
53,men's 1500m,Bryan BERRYHILL,1977-12-15,USA,216.68,1151,2003-07-07
54,men's 1500m,Yassine BENSGHIR,1983-01-03,MAR,216.76,1150,2003-06-09
55,men's 1500m,David LELEI,1971-05-10,KEN,216.82,1150,2003-05-17
